line,part,cost,coreprice,qtyonhand,packs,sku
,6PK1115,8.33,,32,,BRBV_6PK1115
,PA5787,9.21,,152,,DGTF_PA5787
,5PK1145,7.47,,23,,BRBV_5PK1145
,4PK950,8.95,,39,,BRBV_4PK950
,PA5701,8.04,,237,,DGTF_PA5701
,PA6151,4.57,,199,,DGTF_PA6151
,PA6053,5.81,,26,,DGTF_PA6053
,PA5689,64.08,,23,,DGTF_PA5689
,PA5658,14.7,,12,,DGTF_PA5658
,PA6143,7.12,,139,,DGTF_PA6143
,PA5696,48.96,,12,,DGTF_PA5696
,PA6202,7.27,,328,,DGTF_PA6202
,PA5631,15.38,,18,,DGTF_PA5631
,PA6280,7.55,,402,,DGTF_PA6280
,PA6275,8.19,,19,,DGTF_PA6275
,PA6169,7.12,,43,,DGTF_PA6169
,PA5813,11.4,,36,,DGTF_PA5813
,PA4691,7.94,,32,,DGTF_PA4691
,PA5558,10.31,,67,,DGTF_PA5558
,PA5819,8.23,,289,,DGTF_PA5819
,PA6114,7.45,,244,,DGTF_PA6114
,PA5882,9.99,,17,,DGTF_PA5882
,PA6130,9.7,,162,,DGTF_PA6130
,PA6283,8.65,,204,,DGTF_PA6283
,PA6065,8.43,,1,,DGTF_PA6065
,PA6201,9.27,,162,,DGTF_PA6201
,PA5693,14.21,,34,,DGTF_PA5693
,PA5568,6.58,,185,,DGTF_PA5568
,PA5707,7.64,,189,,DGTF_PA5707
,PA6109,14,,99,,DGTF_PA6109
,PA5828,21.39,,2,,DGTF_PA5828
,PA6306,7.34,,127,,DGTF_PA6306
,PA67,2.9,,77,,DGTF_PA67
,PA6199,6.74,,267,,DGTF_PA6199
,PA6308,8.43,,238,,DGTF_PA6308
,PA6121,6.87,,188,,DGTF_PA6121
,PA5801,8.85,,27,,DGTF_PA5801
,PA5567,6.76,,63,,DGTF_PA5567
,PA7765,6.77,,20,,DGTF_PA7765
,PA4669,6.06,,184,,DGTF_PA4669
,PA6050,9.63,,10,,DGTF_PA6050
,PA5648,8.47,,8,,DGTF_PA5648
,PA84,7.58,,2,,DGTF_PA84
,PA6139,7.43,,283,,DGTF_PA6139
,PA6118,5.82,,223,,DGTF_PA6118
,PA74,6.63,,19,,DGTF_PA74
,PA6146,9.81,,129,,DGTF_PA6146
,PA5703,5.7,,329,,DGTF_PA5703
,PA5704,7.69,,35,,DGTF_PA5704
,PA5699,5.7,,514,,DGTF_PA5699
,PA5670,8.99,,196,,DGTF_PA5670
,PA5775,5.49,,214,,DGTF_PA5775
,PA4429,18.1,,6,,BFDG_PA4429
,PA6272,6.94,,241,,DGTF_PA6272
,PA6103,12.15,,217,,DGTF_PA6103
,PA6167,10.48,,227,,DGTF_PA6167
,PA5900,7.12,,96,,DGTF_PA5900
,PA4377,17.98,,11,,BFDG_PA4377
,PA4164,17.11,,5,,BFDG_PA4164
,18056,22.38,,330,,BFDG_18056
,PA4479,11.8,,132,,BFDG_PA4479
,PA4452,15.66,,72,,BFDG_PA4452
,PA4079,12.78,,1,,BFDG_PA4079
,18012,17.45,,15,,BFDG_18012
,PA4060,21.51,,18,,BFDG_PA4060
,P9600,10.8,,2403,,BFDG_P9600
,18022,18.5,,104,,BFDG_18022
,B35S,9.24,,123,,BFDG_B35S
,18198,15.82,,4,,BFDG_18198
,PA4018,12.16,,42,,BFDG_PA4018
,18004,11.79,,38,,BFDG_18004
,PA4418,17.39,,2,,BFDG_PA4418
,18033,20.01,,11,,BFDG_18033
,18025,18.54,,1,,BFDG_18025
,PA4046,23.51,,59,,BFDG_PA4046
,18264,25.88,,108,,BFDG_18264
,PA4314,12.47,,1,,BFDG_PA4314
,PA4485,20.39,,5,,BFDG_PA4485
,18104,11.79,,19,,BFDG_18104
,PA4469,24.07,,16,,BFDG_PA4469
,18163,20.92,,16,,BFDG_18163
,PA4464,32.2,,6,,BFDG_PA4464
,PA4191,15.72,,39,,BFDG_PA4191
,PA4435,21.44,,63,,BFDG_PA4435
,PA4440KIT,29.42,,53,,BFDG_PA4440KIT
,18010,18.18,,252,,BFDG_18010
,PA10003,14.67,,16,,BFDG_PA10003
,PA4401,15.53,,29,,BFDG_PA4401
,PA4179,14.33,,52,,BFDG_PA4179
,PA4309,13.75,,18,,BFDG_PA4309
,PA4184,11.64,,24,,BFDG_PA4184
,CA5793,105.88,,10,,BFDG_CA5793
,PA2117,10.03,,5,,BFDG_PA2117
,PA10271,12.82,,2,,BFDG_PA10271
,PA10117,25.71,,5,,BFDG_PA10117
,PA2237,12.3,,60,,BFDG_PA2237
,PA2181,10.2,,5,,BFDG_PA2181
,PA2188,12.67,,6,,BFDG_PA2188
